n,pattern,seed,policy,C_N_online,c_star_N,r,r_star,r_ss,n_feasible,k,core_nonempty,core_epsilon,theorem11_applicable,theorem11_fires
15,D,256,nearest_neighbor,63.1269,36.8873,1.7113,5.939,,81,6,True,-4.400152,False,False
15,D,256,cheapest_insertion,62.9406,36.8873,1.7063,5.939,,169,7,True,-4.400152,False,False
15,D,256,batch_reoptimize,59.7748,36.8873,1.6205,5.939,,81,6,True,-4.400152,False,False
15,E,42,nearest_neighbor,53.4726,36.3758,1.47,5.6906,,833,10,True,-4.412532,False,False
15,E,42,cheapest_insertion,51.8018,36.3758,1.4241,5.6906,,721,10,True,-4.412532,False,False
15,E,42,batch_reoptimize,51.6452,36.3758,1.4198,5.6906,,721,10,True,-4.412532,False,False
15,E,123,nearest_neighbor,58.3709,33.9659,1.7185,6.4862,,369,8,True,-5.063064,False,False
15,E,123,cheapest_insertion,50.1463,33.9659,1.4764,6.4862,,577,9,True,-5.063064,False,False
15,E,123,batch_reoptimize,49.4315,33.9659,1.4553,6.4862,,641,9,True,-5.063064,False,False
15,E,7,nearest_neighbor,59.4808,39.84,1.493,6.0307,,1225,11,True,-7.732108,False,False
15,E,7,cheapest_insertion,56.6641,39.84,1.4223,6.0307,,2121,12,True,-7.732108,False,False
15,E,7,batch_reoptimize,55.8146,39.84,1.401,6.0307,,2121,12,True,-7.732108,False,False
15,E,99,nearest_neighbor,66.1248,39.6173,1.6691,6.0358,,297,8,True,-6.025268,False,False
15,E,99,cheapest_insertion,56.9984,39.6173,1.4387,6.0358,,417,9,True,-6.025268,False,False
15,E,99,batch_reoptimize,57.723,39.6173,1.457,6.0358,,297,8,True,-6.025268,False,False
15,E,256,nearest_neighbor,50.236,36.8873,1.3619,5.939,,155,8,True,-4.400152,False,False
15,E,256,cheapest_insertion,49.5634,36.8873,1.3436,5.939,,163,8,True,-4.400152,False,False
15,E,256,batch_reoptimize,49.5634,36.8873,1.3436,5.939,,163,8,True,-4.400152,False,False
