n,pattern,seed,policy,L,rho,tau,C_N_online,c_star_N,r,r_star,r_ss,n_feasible,k,core_nonempty,core_epsilon,theorem11_applicable,theorem11_fires
15,D,123,batch_reoptimize,3.873,1.0,0.7124,15.2332,13.1549,1.158,6.4862,,77,6,True,-1.960916,False,False
15,D,256,nearest_neighbor,3.873,1.0,0.7124,21.5349,14.2864,1.5074,5.939,,96,6,True,-1.704171,False,False
15,D,256,cheapest_insertion,3.873,1.0,0.7124,17.7657,14.2864,1.2435,5.939,,112,7,True,-1.704171,False,False
15,D,256,batch_reoptimize,3.873,1.0,0.7124,17.7657,14.2864,1.2435,5.939,,112,7,True,-1.704171,False,False
15,E,7,nearest_neighbor,3.873,1.0,0.7124,20.2283,15.43,1.311,6.0307,,1285,11,True,-2.994633,False,False
15,E,7,cheapest_insertion,3.873,1.0,0.7124,21.0576,15.43,1.3647,6.0307,,2245,12,True,-2.994633,False,False
15,E,7,batch_reoptimize,3.873,1.0,0.7124,21.0576,15.43,1.3647,6.0307,,2245,12,True,-2.994633,False,False
15,E,42,nearest_neighbor,3.873,1.0,0.7124,20.5746,14.0883,1.4604,5.6906,,1089,10,True,-1.708967,False,False
15,E,42,cheapest_insertion,3.873,1.0,0.7124,19.9275,14.0883,1.4145,5.6906,,1089,10,True,-1.708967,False,False
15,E,42,batch_reoptimize,3.873,1.0,0.7124,19.206,14.0883,1.3633,5.6906,,1089,10,True,-1.708967,False,False
15,E,99,nearest_neighbor,3.873,1.0,0.7124,23.2618,15.3437,1.516,6.0358,,329,8,True,-2.333576,False,False
15,E,99,cheapest_insertion,3.873,1.0,0.7124,21.9785,15.3437,1.4324,6.0358,,761,10,True,-2.333576,False,False
15,E,99,batch_reoptimize,3.873,1.0,0.7124,21.6356,15.3437,1.4101,6.0358,,329,8,True,-2.333576,False,False
15,E,123,nearest_neighbor,3.873,1.0,0.7124,22.5423,13.1549,1.7136,6.4862,,673,9,True,-1.960916,False,False
15,E,123,cheapest_insertion,3.873,1.0,0.7124,18.7522,13.1549,1.4255,6.4862,,705,9,True,-1.960916,False,False
15,E,123,batch_reoptimize,3.873,1.0,0.7124,19.089,13.1549,1.4511,6.4862,,897,10,True,-1.960916,False,False
15,E,256,nearest_neighbor,3.873,1.0,0.7124,20.9719,14.2864,1.468,5.939,,157,8,True,-1.704171,False,False
15,E,256,cheapest_insertion,3.873,1.0,0.7124,21.5155,14.2864,1.506,5.939,,157,8,True,-1.704171,False,False
15,E,256,batch_reoptimize,3.873,1.0,0.7124,20.5416,14.2864,1.4378,5.939,,157,8,True,-1.704171,False,False
